id,date_time,city,state_id,shape,duration,summary,date_posted
0,5/19/21 20:15,Atlanta,GA,Sphere,10 min,Two black UFO over Atlanta one coming close to jet plane.,5/20/21
1,5/19/21 17:25,Glens Falls,NY,Triangle,20 minutes,Triangular object over the Hudson River,5/20/21
2,5/19/21 14:30,North Haledon,NJ,Other,20 mins,I’m no stranger to flying things but yesterday was very interestingly unusual. Attached is a drawing and that’s how close it was I coul,5/20/21
3,5/19/21 10:50,Clarksburg,MD,Triangle,1 min,Triangle ufo,5/20/21
4,5/19/21 01:00,Sharon Connecticut,CT,Light,1 hour,Strange star over northwestern connecticut,5/20/21
5,5/19/21 00:23,Rosamond,CA,Formation,1 minute,Large Orange cluster of orbs,5/20/21
6,5/18/21 00:00,Corvallis,OR,Cigar,20 seconds,"Saw cigar shaped whitish/blue object with pulsing white and blue lights in sky near home depot in Corvallis, Oregon",5/20/21
7,5/18/21 21:25,Colton,CA,Circle,15 seconds,Bright light in the sky vanishes in seconds,5/20/21
8,5/18/21 12:00,Lewisburg,PA,Other,All night/every night,This has been going on at my residence for the last several months. I’ve contacted the commonwealth as there’s a federal prison behind,5/20/21
9,5/18/21 11:30,Paso Robles,CA,Sphere,5-10 seconds,"White ball traveling at very high speed, observed on clear sunny day.",5/20/21
10,5/18/21 07:40,Perth (Australia),,Disk,5 minutes,I saw three circular shaped massive UFO's floating above my forming a triangle formation. They had flashing lights on the bottom of the,5/20/21
11,5/18/21 04:00,Warwick,NY,Unknown,2:00,"Four blinking lights hovering without making a sound for at least 3 minutes in Orange County, NY",5/20/21
12,5/18/21 02:00,Carlsbad,CA,Light,&gt;30 minutes,Orange dim lit orb floating in and out of the ocean,5/20/21
13,5/18/21 00:30,Lompoc,CA,Circle,5 minutes,Strange lights formation disappearing in mid air over lompoc Ca near Airforce base.,5/20/21
14,5/17/21 22:07,Senoia,GA,Light,1 min,Light object traveling across sky reacting to second light and defying logic of  coomon air travel,5/20/21
15,5/17/21 21:30,Sherbrooke (Canada),QC,Fireball,25 seconds,Looked like pieces of falling meteor...instead of burning out they spaced out evenly and flew North parallel to earth at great speed.,5/20/21
16,5/17/21 11:00,Bouctouche,,Disk,5mins,Weird lights and flying oval object with windows??!!?,5/20/21
17,5/17/21 02:08,Northern Ireland,,Light,40seconds,There was a double line of star like lights in the following formation.: : : : : : : : : They moved in unison from west to east slo,5/20/21
18,5/17/21 01:20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.,5/20/21
19,5/17/21 01:20,Meridian,ID,Other,~5 minutes,What looked to be a sparkling contrail was actually a massive illuminated ship that crossed the sky.,5/20/21
20,5/17/21 00:20,Fall River,MA,Fireball,3 minutes,"Early Monday morning, I was sitting on my deck looking north east that's  when I noticed a large red and orange ball of light just unde",5/20/21
21,5/17/21 00:20,Susanville,CA,Other,2 min,"We were facing North(towards Alturas with the Sierra Nevada Mountains to our back). A &quot;string&quot; of 20 to 25 lights, moving fro",5/20/21
22,5/17/21 00:07,Bogota,NJ,Circle,1-3 minutes,Bright green lights in the sky.,5/20/21
23,5/17/21 00:07,Bridgewater,NH,Cylinder,3.4 minutes,"Cylindrical shape craft hovered in Northeast sky for 1 minute, then moved slowly eastward for 2.4 minutes before disappearing from view",5/20/21
24,5/17/21 00:06,North Tonawanda,NY,Oval,,Large oval shaped object spotted with lights that had the appearance of shooting stars but it wasn't.,5/20/21
25,5/17/21 00:00,Rutland,VT,Light,3 Min,String of Lights In The Sky,5/20/21
26,5/16/21 23:38,Red Deer,AB,,5 Minutes,Organized line of bright objects,5/20/21
27,5/16/21 23:10,Richland,WA,Circle,.5 hour,3 events of multiple UFO’ a with 1/2 hour span,5/20/21
28,5/16/21 23:00,Bellingham,WA,Light,20 min,numerous pinpricks of light following each other evenly spaced,5/20/21
29,5/16/21 22:40,Keizer,OR,Circle,5 minutes or longer,This was either a formation or a single craft with many lights on the outside. It was moving very slowly across the sky above my house.,5/20/21
30,5/16/21 21:30,Williamsport,MD,Formation,10 minutes?,"varying pattern of blinking lights VERY bright, shaped like an inverted question mark",5/20/21
31,5/16/21 20:15,Grand Rapids,MI,Light,1-2 minutes,Bright white light in twilight sky.,5/20/21
32,5/16/21 20:00,hiram,GA,Other,2 minutes,"metallic craft at high altitude with no contrail,obviuosly not an aerodynamic craft",5/20/21
33,5/16/21 19:00,Jacksonville,NC,Circle,Hour,Three bright orbs spaced apart and aligned with the moon.,5/20/21
34,5/16/21 18:30,Frenchtown,NJ,Other,2 minutes,Black object effortlessly floated without the use of wings or engine.,5/20/21
35,5/16/21 18:00,Glendale,CA,Sphere,10 min,Black spherical ufo,5/20/21
36,5/16/21 15:55,Niagara falls,NY,Oval,2 minutes,Black oval object with windows shot straight up through cloud's,5/20/21
37,5/16/21 15:45,New Baltimore,MI,Circle,3 minutes,Reflective slow moving white ball,5/20/21
38,5/16/21 14:30,San Pedro,CA,Circle,10-15 seconds,Unbelievable! Very large circle shadow drifted across the water and docks at the port of los angeles headed north east.shadow was about,5/20/21
39,5/16/21 12:42,Otsego,MN,Disk,2 min,We observed a comet about 10 minutes before. We were fishing by the boat launch opening and looked up and say a line of lights. The li,5/20/21
40,5/16/21 12:05,Plymouth,MA,Cigar,3 min,"Large dull white cigar or disc hovered, gradually glided east where it vanished as if the night sky absorbed it, it made no sound",5/20/21
41,5/16/21 10:00,Portland,OR,Formation,10 seconds,Formation of lights across the night sky in Portland,5/20/21
42,5/16/21 09:54,Vincent,AL,Light,35 minutes,Two objects were headed towards each other then they stopped abruptly. They headed east and 3 other objects came from the east and stop,5/20/21
43,5/16/21 09:30,ROCHESTER,NY,Rectangle,3 seconds,At around 9:30pm may 16 2021 we had a crescent moon so i brought out the telescope to look at the moon. while looking at a the moon ver,5/20/21
44,5/16/21 09:00,McDonald,PA,Unknown,1.5 hours,"15 crafts in space that raced, darted, faded in and out, pretended to be stars, and wobbled in all directions in the sky.",5/20/21
45,5/16/21 08:17,Belen,NM,Circle,10 min,As I pulled to the light on my way into the city for work I noticed a big silver metal sphere in the sky not moving so I pulled over an,5/20/21
46,5/16/21 05:30,Fort Myers,FL,Other,~2,Quick moving object in the sky,5/20/21
47,5/16/21 04:00,Newberg,OR,Light,Aprox: 2 minutes,"there was a spherical light emitting a green laser, pointing diagonally towards the surface of the ground. from the lazer were smaller",5/20/21
48,5/16/21 01:00,Kamloops (Canada),BC,Cigar,1 minute,"Lackluster sighting in comparison to other sightings, but , I was camping with my girlfriend  when we noticed what we initially thought",5/20/21
49,5/16/21 00:12,Bowdoin,ME,Formation,10 seconds,Very large silent Light formation moving at plane speed.,5/20/21
50,5/16/21 00:05,Utica,NY,Other,30,Seen A Stick Shaped UFO,5/20/21
51,5/15/21 23:39,Nampa,ID,Triangle,3 minutes,My father and I were coming back from Lake Lowell and on our way back home we noticed a long low glowing bar of light floating along th,5/20/21
52,5/15/21 23:37,Emigrant,MT,Light,20 minutes,String of Attached Lights with No Sound Moving Towards Us,5/20/21
53,5/15/21 23:37,Emigrant,MT,Light,20 minutes,String of Attached Lights with No Sound Moving Towards Us,5/20/21
54,5/15/21 23:30,Rochester,MI,Sphere,3 minutes,Silver Sphere Ufo,5/20/21
55,5/15/21 23:30,Star,ID,Disk,10 minutes,UFO in Star Idaho,5/20/21
57,5/15/21 22:45,randle,WA,Disk,4 minutes,Two friends and i witnessed several bright balls of light in the sky heading northeast at 10:30 pm then at 1045 we observed a very larg,5/20/21
58,5/15/21 22:38,Salem,OR,Cylinder,2 1/2 min,"Self illuminating craft, cylinder shape, mile long moving at constant speed.  No wings or other lighting seen.  No sound.",5/20/21
59,5/15/21 22:38,Salem,OR,Cylinder,2 1/2 min,"Self illuminating craft, cylinder shape, mile long moving at constant speed.  No wings or other lighting seen.  No sound.",5/20/21
60,5/15/21 22:37,Concrete,WA,Other,4 minutes,Linear white lights on object slowly floating in sky..like nothing I have ever seen before. Inexplicable.,5/20/21
61,5/15/21 22:36,Longview,WA,Cylinder,5 minutes,Object that looked like a string of pearls in the sky.,5/20/21
62,5/15/21 22:36,Sisters,OR,Cigar,4 minutes,"Long and narrow illuminated craft flying high and somewhat slowly over Oregon (5-15-21, 22:36); 4 whitnesses",5/20/21
63,5/15/21 22:35,Vancouver,WA,Cigar,1-3 minutes,"Oblong white light travelling west to east slowly in northern sky's of Vancouver, Washington",5/20/21
64,5/15/21 22:35,Jacksonville,OR,Cigar,1 min. 30 sec,Cigar shaped slightly illuminated object moving North-NorthEast.,5/20/21
65,5/15/21 22:35,Carson,WA,Rectangle,5 minutes,"A large horizontal bar of light moved slowly across the night sky, eventually lifting its back end to 45 degrees and maintaining course",5/20/21
66,5/15/21 22:30,Conconully,WA,Cylinder,4 Min,"On a camping trip, and after my wife went to bed I was standing at the campfire looking up at all of the stars. I saw a long patch of w",5/20/21
67,5/15/21 22:30,Glasgow,MT,Rectangle,5 minutes,"Three individuals witnessed a brightly lit but silent very large object for 5 minutes at 10:30pm on 5/15/2021 west of Glasgow, MT.",5/20/21
68,5/15/21 22:30,Ferndale,WA,Cylinder,four min,saw a green segmented object slowly traveling thru the sky,5/20/21
69,5/15/21 22:30,Kissimmee,FL,Light,1 minute,"I was outside preying looked up, and the picture says it all. I usually have about 3 sightings a week where I am.",5/20/21
70,5/15/21 22:06,Chautauqua Lake,NY,Light,35 minutes,"Six bright white fast moving lights appeared above us, one of which passed under a jet and followed our boat.",5/20/21
71,5/15/21 21:30,Highbridge,NJ,Cylinder,Under 5 minutes,Brilliant orange cylinder with points of white. Appeared translucent and had a deliberate flight path,5/20/21
72,5/15/21 21:00,Medford,OR,Circle,35 minutes,Orange pulsating lights in a square formation to a straight line formation,5/20/21
73,5/15/21 20:40,New York City (Brooklyn),NY,Circle,15 mins,11 glowing orange disc flew silently across the sky. They had no visible way of propulsion and looked like bright circles.,5/20/21
74,5/15/21 20:15,New Hanover Township,PA,Circle,2 - 3 minutes,about 15 orange circular objects flying at low altitude.,5/20/21
75,5/15/21 11:50,Burnsville,MN,Disk,5 sec,Animated looking green glowing flying saucer,5/20/21
76,5/15/21 06:10,Kakinada (India),,Oval,few seconds,Spotted UFO from close distance while jogging on beach,5/20/21
77,5/15/21 05:00,Amherst (Canada),NS,Disk,45 seconds,Silent very fast moving disc shape before daylight lot up the disc as I seen clearly and what looked like two smaller ones exiting it,5/20/21
78,5/15/21 04:00,Kelseyville,CA,Sphere,2 minutes,Silent red orange orb,5/20/21
